,"消費者物價基本分類指數"
,,,,,,,,,,,,,,,"單位：民國105年=100"
"統計期","總指數","年增率(%)","一.食物類","年增率(%)","二.衣著類","年增率(%)","三.居住類","年增率(%)","四.交通及通訊類","年增率(%)","五.醫藥保健類","年增率(%)","六.教養娛樂類","年增率(%)","七.雜項類","年增率(%)",
"87年","84.26","1.68","67.29","4.41","91.04","-5.52","96.18","1.10","96.19","-0.98","69.21","0.90","92.70","3.24","77.43","1.56",
"88年","84.41","0.18","66.81","-0.71","89.99","-1.15","96.26","0.08","95.47","-0.75","71.83","3.79","94.64","2.09","78.32","1.15",
"89年","85.47","1.26","67.07","0.39","90.47","0.53","96.65","0.41","98.54","3.22","74.78","4.11","97.49","3.01","79.05","0.93",
"90年","85.46","-0.01","66.46","-0.91","88.92","-1.71","96.14","-0.53","99.63","1.11","75.71","1.24","99.56","2.12","79.24","0.24",
"91年","85.29","-0.20","66.35","-0.17","89.40","0.54","95.00","-1.19","97.43","-2.21","76.70","1.31","99.67","0.11","82.75","4.43",
"92年","85.05","-0.28","66.30","-0.08","90.46","1.19","94.08","-0.97","98.05","0.64","79.16","3.21","98.37","-1.30","82.33","-0.51",
"93年","86.42","1.61","69.10","4.22","93.31","3.15","93.88","-0.21","100.13","2.12","80.70","1.95","98.49","0.12","83.21","1.07",
"94年","88.42","2.31","74.11","7.25","93.18","-0.14","94.26","0.40","101.45","1.32","84.34","4.51","98.26","-0.23","83.00","-0.25",
"95年","88.95","0.60","73.63","-0.65","89.84","-3.58","95.09","0.88","103.22","1.74","87.46","3.70","98.43","0.17","86.12","3.76",
"96年","90.55","1.80","75.73","2.85","92.32","2.76","96.02","0.98","105.07","1.79","91.28","4.37","99.03","0.61","87.55","1.66",
"97年","93.74","3.52","82.21","8.56","93.24","1.00","97.50","1.54","107.55","2.36","93.45","2.38","100.33","1.31","88.86","1.50",
"98年","92.92","-0.87","81.84","-0.45","92.58","-0.71","97.17","-0.34","103.25","-4.00","94.00","0.59","98.54","-1.78","90.97","2.37",
"99年","93.82","0.97","82.35","0.62","94.14","1.69","97.62","0.46","106.21","2.87","94.59","0.63","98.49","-0.05","93.36","2.63",
"100年","95.15","1.42","84.21","2.26","96.84","2.87","98.46","0.86","107.73","1.43","96.49","2.01","99.00","0.52","94.54","1.26",
"101年","96.99","1.93","87.72","4.17","99.28","2.52","99.60","1.16","108.21","0.45","97.21","0.75","99.68","0.69","96.57","2.15",
"102年","97.76","0.79","88.82","1.25","99.09","-0.19","100.51","0.91","108.69","0.44","98.21","1.03","100.01","0.33","97.07","0.52",
"103年","98.93","1.20","92.15","3.75","100.36","1.28","101.39","0.88","107.39","-1.20","98.85","0.65","99.94","-0.07","98.36","1.33",
"104年","98.63","-0.30","95.03","3.13","99.80","-0.56","100.24","-1.13","101.13","-5.83","99.14","0.29","99.91","-0.03","98.63","0.27",
"105年","100.00","1.39","100.00","5.23","100.00","0.20","100.00","-0.24","100.00","-1.12","100.00","0.87","100.00","0.09","100.00","1.39",
"106年","100.62","0.62","99.63","-0.37","99.76","-0.24","100.86","0.86","101.81","1.81","101.71","1.71","100.29","0.29","101.90","1.90",
"107年","101.98","1.35","100.62","0.99","100.05","0.29","101.78","0.91","104.12","2.27","102.78","1.05","100.52","0.23","106.73","4.74",
"108年","102.55","0.56","102.54","1.91","99.31","-0.74","102.42","0.63","102.61","-1.45","103.65","0.85","101.27","0.75","107.35","0.58",
"109年","102.31","-0.23","103.23","0.67","100.52","1.22","102.71","0.28","98.64","-3.87","104.48","0.80","100.29","-0.97","108.40","0.98",
"110年","104.32","1.96","105.75","2.44","102.31","1.78","103.65","0.92","104.63","6.07","104.72","0.23","101.50","1.21","108.82","0.39",

註解：
由於受查者延誤或更正報價，最近3個月資料均可能修正。


 
