"統計期","行業別","<b>家數總計</b>","<b>銷售額總計</b>"
"102年","4533-13寵物批發",84,405388
"102年","4552-19寵物服裝及其飾品配件批發",436,6076567
"102年","4699-22寵物用品批發",445,4359445
"102年","4852-20寵物零售",1096,2463810
"102年","4852-21寵物用品零售",1569,4781100
"102年","4852-22寵物飼料零售",1081,7821744
"102年","9630-16寵物殯葬",－,－
"102年","9690-21寵物照顧及訓練",688,663468
"103年","4533-13寵物批發",86,598709
"103年","4552-19寵物服裝及其飾品配件批發",356,5431603
"103年","4699-22寵物用品批發",507,5464693
"103年","4852-20寵物零售",1085,2521793
"103年","4852-21寵物用品零售",1597,5365566
"103年","4852-22寵物飼料零售",1069,6509259
"103年","9630-16寵物殯葬",－,－
"103年","9690-21寵物照顧及訓練",816,844957
"104年","4533-13寵物批發",99,536988
"104年","4552-19寵物服裝及其飾品配件批發",323,4951377
"104年","4699-22寵物用品批發",547,5989186
"104年","4852-20寵物零售",1141,2490745
"104年","4852-21寵物用品零售",1653,5914829
"104年","4852-22寵物飼料零售",1105,5926121
"104年","9630-16寵物殯葬",3,(D)
"104年","9690-21寵物照顧及訓練",990,1055152
"105年","4533-13寵物批發",110,737168
"105年","4552-19寵物服裝及其飾品配件批發",281,4746615
"105年","4699-22寵物用品批發",587,6089885
"105年","4852-20寵物零售",1172,2482470
"105年","4852-21寵物用品零售",1715,6404629
"105年","4852-22寵物飼料零售",1102,5842786
"105年","9630-16寵物殯葬",3,(D)
"105年","9690-21寵物照顧及訓練",1119,1216653
"106年","4533-13寵物批發",110,689198
"106年","4552-19寵物服裝及其飾品配件批發",265,4195136
"106年","4699-22寵物用品批發",615,6470262
"106年","4852-20寵物零售",1135,2438506
"106年","4852-21寵物用品零售",1728,6753867
"106年","4852-22寵物飼料零售",1086,6126026
"106年","9630-16寵物殯葬",5,(D)
"106年","9690-21寵物照顧及訓練",1284,1437193


"說明：(D)表示不陳示數值以保護個別資料。"
